Service,Asia Pacific (Malaysia) - ap-southeast-5,Africa (Cape Town) - af-south-1,Asia Pacific (Hong Kong) - ap-east-1,Asia Pacific (Tokyo) - ap-northeast-1,Asia Pacific (Seoul) - ap-northeast-2,Asia Pacific (Osaka) - ap-northeast-3,Asia Pacific (Mumbai) - ap-south-1,Asia Pacific (Hyderabad) - ap-south-2,Asia Pacific (Singapore) - ap-southeast-1,Asia Pacific (Sydney) - ap-southeast-2,Asia Pacific (Jakarta) - ap-southeast-3,Asia Pacific (Melbourne) - ap-southeast-4,Canada (Central) - ca-central-1,Canada West (Calgary) - ca-west-1,China (Beijing) - cn-north-1,China (Ningxia) - cn-northwest-1,Europe (Frankfurt) - eu-central-1,Europe (Zurich) - eu-central-2,Europe (Stockholm) - eu-north-1,Europe (Milan) - eu-south-1,Europe (Spain) - eu-south-2,Europe (Ireland) - eu-west-1,Europe (London) - eu-west-2,Europe (Paris) - eu-west-3,Israel (Tel Aviv) - il-central-1,Middle East (UAE) - me-central-1,Middle East (Bahrain) - me-south-1,South America (São Paulo) - sa-east-1,US East (N. Virginia) - us-east-1,US East (Ohio) - us-east-2,US West (N. California) - us-west-1,US West (Oregon) - us-west-2
(Overall %),0.241,0.563,0.534,0.881,0.788,0.521,0.746,0.424,0.836,0.875,0.469,0.428,0.765,0.367,0,0,0.887,0.424,0.656,0.521,0.428,0.887,0.817,0.65,0.457,0.46,0.531,0.656,0.987,0.791,0.633,0.942
a,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
acm,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
acm-pca,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
amp,False,False,False,True,True,False,True,False,True,True,False,False,False,False,False,False,True,False,True,False,False,True,True,True,False,False,False,True,True,True,False,True
amplify,False,False,True,True,True,True,True,False,True,True,False,False,True,False,False,False,True,False,True,True,False,True,True,True,False,False,True,True,True,True,True,True
amplifybackend,False,False,False,True,True,True,True,False,True,True,False,False,True,False,False,False,True,False,True,True,False,True,True,True,False,False,True,True,True,True,True,True
amplifyuibuilder,False,False,False,True,True,True,True,False,True,True,False,False,True,False,False,False,True,False,True,True,False,True,True,True,False,False,True,True,True,True,True,True
apigateway,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
apigatewayv2,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
appconfig,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
appconfigdata,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
appflow,False,True,False,True,True,False,True,False,True,True,False,False,True,False,False,False,True,False,False,False,False,True,True,True,False,False,False,True,True,True,True,True
appintegrations,False,True,False,True,True,False,False,False,True,True,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True
application-autoscaling,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
application-insights,False,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
appmesh,False,True,True,True,True,True,True,False,True,True,True,False,True,False,False,False,True,False,True,True,False,True,True,True,True,False,True,True,True,True,True,True
apprunner,False,False,False,True,False,False,True,False,True,True,False,False,False,False,False,False,True,False,False,False,False,True,True,True,False,False,False,False,True,True,False,True
appstream,False,False,False,True,True,False,True,False,True,True,False,False,True,False,False,False,True,False,False,False,False,True,True,False,False,False,False,True,True,True,False,True
appsync,False,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
arc-zonal-shift,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
athena,False,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
auditmanager,False,False,False,True,False,False,True,False,True,True,False,False,True,False,False,False,True,False,False,False,False,True,True,False,False,False,False,False,True,True,True,True
autoscaling,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
autoscaling-plans,False,True,True,True,True,True,True,False,True,True,True,False,True,False,False,False,True,False,True,True,False,True,True,True,False,False,True,True,True,True,True,True
backup,False,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
backup-gateway,False,True,True,True,True,True,True,False,True,True,False,False,True,False,False,False,True,False,True,True,False,True,True,True,False,False,True,True,True,True,True,True
batch,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
bedrock,False,False,False,True,False,False,True,False,True,True,False,False,True,False,False,False,True,False,False,False,False,True,True,True,False,False,False,True,True,False,False,True
braket,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,True,True
c,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
chime-sdk-identity,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
