InstanceType,FreeTierEligible,ProcessorInfo.Manufacturer,NetworkInfo.NetworkPerformance,EbsInfo.EbsOptimizedInfo.BaselineBandwidthInMbps,EbsInfo.EbsOptimizedInfo.BaselineThroughputInMBps,EbsInfo.EbsOptimizedInfo.MaximumBandwidthInMbps,EbsInfo.EbsOptimizedInfo.MaximumThroughputInMBps,EbsInfo.EbsOptimizedInfo.BaselineIops,EbsInfo.EbsOptimizedInfo.MaximumIops,Asia Pacific (Malaysia) - ap-southeast-5,Asia Pacific (Tokyo) - ap-northeast-1,Asia Pacific (Singapore) - ap-southeast-1,Asia Pacific (Sydney) - ap-southeast-2,US East (N. Virginia) - us-east-1
a1.2xlarge,False,AWS,Up to 10 Gigabit,1750,218.75,3500,437.5,10000,20000,False,True,True,True,True
a1.4xlarge,False,AWS,Up to 10 Gigabit,3500,437.5,3500,437.5,20000,20000,False,True,True,True,True
a1.large,False,AWS,Up to 10 Gigabit,525,65.625,3500,437.5,4000,20000,False,True,True,True,True
a1.medium,False,AWS,Up to 10 Gigabit,300,37.5,3500,437.5,2500,20000,False,True,True,True,True
a1.metal,False,AWS,Up to 10 Gigabit,3500,437.5,3500,437.5,20000,20000,False,True,True,True,True
a1.xlarge,False,AWS,Up to 10 Gigabit,800,100.0,3500,437.5,6000,20000,False,True,True,True,True
c1.medium,False,Intel,Moderate,-,-,-,-,-,-,False,True,True,True,True
c1.xlarge,False,Intel,High,1000,125.0,1000,125.0,8000,8000,False,True,True,True,True
c3.2xlarge,False,Intel,High,1000,125.0,1000,125.0,8000,8000,False,True,True,True,True
c3.4xlarge,False,Intel,High,2000,250.0,2000,250.0,16000,16000,False,True,True,True,True
c3.8xlarge,False,Intel,10 Gigabit,-,-,-,-,-,-,False,True,True,True,True
c3.large,False,Intel,Moderate,-,-,-,-,-,-,False,True,True,True,True
c3.xlarge,False,Intel,Moderate,500,62.5,500,62.5,4000,4000,False,True,True,True,True
c4.2xlarge,False,Intel,High,1000,125.0,1000,125.0,8000,8000,False,True,True,True,True
c4.4xlarge,False,Intel,High,2000,250.0,2000,250.0,16000,16000,False,True,True,True,True
c4.8xlarge,False,Intel,10 Gigabit,4000,500.0,4000,500.0,32000,32000,False,True,True,True,True
c4.large,False,Intel,Moderate,500,62.5,500,62.5,4000,4000,False,True,True,True,True
c4.xlarge,False,Intel,High,750,93.75,750,93.75,6000,6000,False,True,True,True,True
c5.12xlarge,False,Intel,12 Gigabit,9500,1187.5,9500,1187.5,40000,40000,False,True,True,True,True
c5.18xlarge,False,Intel,25 Gigabit,19000,2375.0,19000,2375.0,80000,80000,False,True,True,True,True
c5.24xlarge,False,Intel,25 Gigabit,19000,2375.0,19000,2375.0,80000,80000,False,True,True,True,True
c5.2xlarge,False,Intel,Up to 10 Gigabit,2300,287.5,4750,593.75,10000,20000,False,True,True,True,True
c5.4xlarge,False,Intel,Up to 10 Gigabit,4750,593.75,4750,593.75,20000,20000,False,True,True,True,True
c5.9xlarge,False,Intel,12 Gigabit,9500,1187.5,9500,1187.5,40000,40000,False,True,True,True,True
c5.large,False,Intel,Up to 10 Gigabit,650,81.25,4750,593.75,4000,20000,False,True,True,True,True
c5.metal,False,Intel,25 Gigabit,19000,2375.0,19000,2375.0,80000,80000,False,True,True,True,True
c5.xlarge,False,Intel,Up to 10 Gigabit,1150,143.75,4750,593.75,6000,20000,False,True,True,True,True
c5a.12xlarge,False,AMD,12 Gigabit,4750,593.75,4750,593.75,20000,20000,False,True,True,True,True
c5a.16xlarge,False,AMD,20 Gigabit,6300,787.5,6300,787.5,26700,26700,False,True,True,True,True
c5a.24xlarge,False,AMD,20 Gigabit,9500,1187.5,9500,1187.5,40000,40000,False,True,True,True,True
c5a.2xlarge,False,AMD,Up to 10 Gigabit,800,100.0,3170,396.25,3200,13300,False,True,True,True,True
c5a.4xlarge,False,AMD,Up to 10 Gigabit,1580,197.5,3170,396.25,6600,13300,False,True,True,True,True
c5a.8xlarge,False,AMD,10 Gigabit,3170,396.25,3170,396.25,13300,13300,False,True,True,True,True
c5a.large,False,AMD,Up to 10 Gigabit,200,25.0,3170,396.25,800,13300,False,True,True,True,True
c5a.xlarge,False,AMD,Up to 10 Gigabit,400,50.0,3170,396.25,1600,13300,False,True,True,True,True
c5ad.12xlarge,False,AMD,12 Gigabit,4750,593.75,4750,593.75,20000,20000,False,False,True,True,True
c5ad.16xlarge,False,AMD,20 Gigabit,6300,787.5,6300,787.5,26700,26700,False,False,True,True,True
c5ad.24xlarge,False,AMD,20 Gigabit,9500,1187.5,9500,1187.5,40000,40000,False,False,True,True,True
c5ad.2xlarge,False,AMD,Up to 10 Gigabit,800,100.0,3170,396.25,3200,13300,False,False,True,True,True
c5ad.4xlarge,False,AMD,Up to 10 Gigabit,1580,197.5,3170,396.25,6600,13300,False,False,True,True,True
c5ad.8xlarge,False,AMD,10 Gigabit,3170,396.25,3170,396.25,13300,13300,False,False,True,True,True
c5ad.large,False,AMD,Up to 10 Gigabit,200,25.0,3170,396.25,800,13300,False,False,True,True,True
c5ad.xlarge,False,AMD,Up to 10 Gigabit,400,50.0,3170,396.25,1600,13300,False,False,True,True,True
c5d.12xlarge,False,Intel,12 Gigabit,9500,1187.5,9500,1187.5,40000,40000,False,True,True,True,True
c5d.18xlarge,False,Intel,25 Gigabit,19000,2375.0,19000,2375.0,80000,80000,False,True,True,True,True
c5d.24xlarge,False,Intel,25 Gigabit,19000,2375.0,19000,2375.0,80000,80000,False,True,True,True,True
c5d.2xlarge,False,Intel,Up to 10 Gigabit,2300,287.5,4750,593.75,10000,20000,False,True,True,True,True
c5d.4xlarge,False,Intel,Up to 10 Gigabit,4750,593.75,4750,593.75,20000,20000,False,True,True,True,True
c5d.9xlarge,False,Intel,12 Gigabit,9500,1187.5,9500,1187.5,40000,40000,False,True,True,True,True
c5d.large,False,Intel,Up to 10 Gigabit,650,81.25,4750,593.75,4000,20000,False,True,True,True,True
c5d.metal,False,Intel,25 Gigabit,19000,2375.0,19000,2375.0,80000,80000,False,True,True,True,True
c5d.xlarge,False,Intel,Up to 10 Gigabit,1150,143.75,4750,593.75,6000,20000,False,True,True,True,True
c5n.18xlarge,False,Intel,100 Gigabit,19000,2375.0,19000,2375.0,80000,80000,False,True,True,True,True
c5n.2xlarge,False,Intel,Up to 25 Gigabit,2300,287.5,4750,593.75,10000,20000,False,True,True,True,True
c5n.4xlarge,False,Intel,Up to 25 Gigabit,4750,593.75,4750,593.75,20000,20000,False,True,True,True,True
c5n.9xlarge,False,Intel,50 Gigabit,9500,1187.5,9500,1187.5,40000,40000,False,True,True,True,True
c5n.large,False,Intel,Up to 25 Gigabit,650,81.25,4750,593.75,4000,20000,False,True,True,True,True
c5n.metal,False,Intel,100 Gigabit,19000,2375.0,19000,2375.0,80000,80000,False,True,True,True,True
c5n.xlarge,False,Intel,Up to 25 Gigabit,1150,143.75,4750,593.75,6000,20000,False,True,True,True,True
c6a.12xlarge,False,AMD,18.75 Gigabit,15000,1875.0,15000,1875.0,60000,60000,False,True,True,True,True
