InstanceType,Asia Pacific (Malaysia) - ap-southeast-5,Asia Pacific (Singapore) - ap-southeast-1,Asia Pacific (Sydney) - ap-southeast-2,US East (N. Virginia) - us-east-1,Asia Pacific (Tokyo) - ap-northeast-1
c6g.12xlarge,1.5994,1.8816,2.1312,1.632,2.0544
c6g.16xlarge,2.1325,2.5088,2.8416,2.176,2.7392
c6g.2xlarge,0.2666,0.3136,0.3552,0.272,0.3424
c6g.4xlarge,0.5331,0.6272,0.7104,0.544,0.6848
c6g.8xlarge,1.0662,1.2544,1.4208,1.088,1.3696
c6g.large,0.0666,0.0784,0.0888,0.068,0.0856
c6g.medium,0.0333,0.0392,0.0444,0.034,0.0428
c6g.metal,2.1325,2.5088,2.8416,2.176,2.7392
c6g.xlarge,0.1333,0.1568,0.1776,0.136,0.1712
c6gn.12xlarge,2.01984,2.376,2.712,2.0736,2.616
c6gn.16xlarge,2.69312,3.168,3.616,2.7648,3.488
c6gn.2xlarge,0.33664,0.396,0.452,0.3456,0.436
c6gn.4xlarge,0.67328,0.792,0.904,0.6912,0.872
c6gn.8xlarge,1.34656,1.584,1.808,1.3824,1.744
c6gn.large,0.08416,0.099,0.113,0.0864,0.109
c6gn.medium,0.04208,0.0495,0.0565,0.0432,0.0545
c6gn.xlarge,0.16832,0.198,0.226,0.1728,0.218
c7g.12xlarge,1.6992,1.9992,2.2646,1.74,2.183
c7g.16xlarge,2.2656,2.6656,3.0195,2.32,2.9107
c7g.2xlarge,0.2832,0.3332,0.3774,0.29,0.3638
c7g.4xlarge,0.5664,0.6664,0.7549,0.58,0.7277
c7g.8xlarge,1.1328,1.3328,1.5098,1.16,1.4554
c7g.large,0.0708,0.0833,0.0944,0.0725,0.091
c7g.medium,0.0354,0.0417,0.0472,0.0363,0.0455
c7g.metal,2.2656,2.6656,3.0195,2.32,2.9107
c7g.xlarge,0.1416,0.1666,0.1887,0.145,0.1819
c7gd.12xlarge,2.159,2.5402,2.8579,2.1773,2.7672
c7gd.16xlarge,2.8787,3.3869,3.8106,2.903,3.6896
c7gd.2xlarge,0.3598,0.4234,0.4763,0.3629,0.4612
c7gd.4xlarge,0.7197,0.8467,0.9526,0.7258,0.9224
c7gd.8xlarge,1.4394,1.6934,1.9053,1.4515,1.8448
c7gd.large,0.09,0.1058,0.1191,0.0907,0.1153
c7gd.medium,0.045,0.0529,0.0595,0.0454,0.0577
c7gd.xlarge,0.1799,0.2117,0.2382,0.1814,0.2306
c7i.xlarge,0.24254,0.2734,0.2331,0.6585,0.7047
m6g.12xlarge,1.9584,2.304,2.304,1.848,2.376
m6g.16xlarge,2.6112,3.072,3.072,2.464,3.168
m6g.2xlarge,0.3264,0.384,0.384,0.308,0.396
m6g.4xlarge,0.6528,0.768,0.768,0.616,0.792
m6g.8xlarge,1.3056,1.536,1.536,1.232,1.584
m6g.medium,0.0408,0.048,0.048,0.0385,0.0495
m6g.metal,2.6112,3.072,3.072,2.464,3.168
m6g.xlarge,0.1632,0.192,0.192,0.154,0.198
m6gd.12xlarge,2.305,2.712,2.736,2.1696,2.808
m6gd.16xlarge,3.0733,3.616,3.648,2.8928,3.744
m6gd.2xlarge,0.3842,0.452,0.456,0.3616,0.468
m6gd.4xlarge,0.7683,0.904,0.912,0.7232,0.936
m6gd.8xlarge,1.5366,1.808,1.824,1.4464,1.872
m6gd.large,0.096,0.113,0.114,0.0904,0.117
m6gd.medium,0.048,0.0565,0.057,0.0452,0.0585
m6gd.metal,3.0733,3.616,3.648,2.8928,3.744
m6gd.xlarge,0.1921,0.226,0.228,0.1808,0.234
m7g.12xlarge,2.0808,2.448,2.448,1.9584,2.5296
