InstanceType,Asia Pacific (Malaysia) - ap-southeast-5,Asia Pacific (Singapore) - ap-southeast-1,Asia Pacific (Sydney) - ap-southeast-2,US East (N. Virginia) - us-east-1,Asia Pacific (Tokyo) - ap-northeast-1
c6g.12xlarge,15804.0,18593.0,21059.0,16126.0,20300.0
c6g.16xlarge,21072.0,24790.0,28079.0,21502.0,27067.0
c6g.2xlarge,2634.0,3099.0,3510.0,2688.0,3383.0
c6g.4xlarge,5268.0,6198.0,7020.0,5375.0,6767.0
c6g.8xlarge,10536.0,12395.0,14039.0,10751.0,13533.0
c6g.large,658.0,775.0,877.0,672.0,846.0
c6g.medium,329.0,387.0,439.0,336.0,423.0
c6g.metal,21072.0,24790.0,28079.0,21502.0,27067.0
c6g.xlarge,1317.0,1549.0,1755.0,1344.0,1692.0
c6gn.12xlarge,21420.0,25197.0,28755.0,20362.0,30535.0
c6gn.16xlarge,28560.0,33596.0,38339.0,27149.0,40713.0
c6gn.2xlarge,3570.0,4200.0,4792.0,3394.0,5089.0
c6gn.4xlarge,7140.0,8399.0,9585.0,6787.0,10178.0
c6gn.8xlarge,14280.0,16798.0,19170.0,13575.0,20356.0
c6gn.large,893.0,1050.0,1198.0,848.0,1272.0
c6gn.medium,446.0,525.0,599.0,424.0,636.0
c6gn.xlarge,1785.0,2100.0,2396.0,1697.0,2545.0
c7g.12xlarge,17630.0,20742.0,23536.0,17490.0,22758.0
c7g.16xlarge,23506.0,27657.0,31381.0,23320.0,30344.0
c7g.2xlarge,2938.0,3457.0,3923.0,2915.0,3793.0
c7g.4xlarge,5877.0,6914.0,7845.0,5830.0,7586.0
c7g.8xlarge,11753.0,13828.0,15690.0,11660.0,15172.0
c7g.large,735.0,864.0,981.0,729.0,948.0
c7g.medium,367.0,432.0,490.0,364.0,474.0
c7g.metal,23506.0,27657.0,31381.0,23320.0,30344.0
c7g.xlarge,1469.0,1729.0,1961.0,1457.0,1896.0
c7gd.12xlarge,21334.0,25100.0,28240.0,20810.0,27482.0
c7gd.16xlarge,28445.0,33467.0,37653.0,27746.0,36643.0
c7gd.2xlarge,3556.0,4183.0,4707.0,3468.0,4580.0
c7gd.4xlarge,7111.0,8367.0,9413.0,6937.0,9161.0
c7gd.8xlarge,14223.0,16733.0,18827.0,13873.0,18321.0
c7gd.large,889.0,1046.0,1177.0,867.0,1145.0
c7gd.medium,444.0,523.0,588.0,434.0,573.0
c7gd.xlarge,1778.0,2092.0,2353.0,1734.0,2290.0
c7i.xlarge,1815.0,2135.0,2423.0,1798.0,2342.0
m6g.12xlarge,19351.0,22766.0,22766.0,18375.0,23713.0
m6g.16xlarge,25802.0,30355.0,30355.0,24500.0,31617.0
m6g.2xlarge,3225.0,3794.0,3794.0,3062.0,3952.0
m6g.4xlarge,6450.0,7589.0,7589.0,6125.0,7904.0
m6g.8xlarge,12901.0,15178.0,15178.0,12250.0,15808.0
m6g.medium,403.0,474.0,474.0,383.0,494.0
m6g.metal,25802.0,30355.0,30355.0,24500.0,31617.0
m6g.xlarge,1613.0,1897.0,1897.0,1531.0,1976.0
m6gd.12xlarge,22673.0,26677.0,26677.0,21438.0,27865.0
m6gd.16xlarge,30231.0,35570.0,35569.0,28585.0,37153.0
m6gd.2xlarge,3779.0,4446.0,4446.0,3573.0,4644.0
m6gd.4xlarge,7558.0,8892.0,8892.0,7146.0,9288.0
m6gd.8xlarge,15116.0,17785.0,17785.0,14292.0,18576.0
m6gd.large,945.0,1112.0,1112.0,893.0,1161.0
m6gd.medium,472.0,556.0,556.0,447.0,581.0
m6gd.metal,30231.0,35570.0,35569.0,28585.0,37153.0
m6gd.xlarge,1889.0,2223.0,2223.0,1787.0,2322.0
m7g.12xlarge,21589.0,25399.0,25393.0,20319.0,26202.0
m7g.16xlarge,28785.0,33865.0,33857.0,27092.0,34936.0
m7g.2xlarge,3598.0,4233.0,4232.0,3387.0,4367.0
m7g.4xlarge,7196.0,8466.0,8464.0,6773.0,8734.0
m7g.8xlarge,14393.0,16933.0,16929.0,13546.0,17468.0
m7g.large,900.0,1058.0,1058.0,847.0,1092.0
m7g.medium,450.0,529.0,529.0,423.0,546.0
m7g.metal,28785.0,33865.0,33857.0,27092.0,34936.0
m7g.xlarge,1799.0,2117.0,2116.0,1693.0,2183.0
m7gd.12xlarge,26860.0,31599.0,31823.0,25324.0,32720.0
m7gd.16xlarge,35813.0,42132.0,42431.0,33766.0,43626.0
m7gd.2xlarge,4477.0,5267.0,5304.0,4221.0,5453.0
m7gd.4xlarge,8953.0,10533.0,10608.0,8441.0,10907.0
m7gd.8xlarge,17906.0,21066.0,21216.0,16883.0,21813.0
m7gd.large,1119.0,1317.0,1326.0,1055.0,1363.0
m7gd.medium,560.0,658.0,663.0,528.0,682.0
m7gd.metal,35813.0,42132.0,42431.0,33766.0,43626.0
m7gd.xlarge,2238.0,2633.0,2652.0,2110.0,2727.0
r6g.12xlarge,24512.0,28838.0,28648.0,23905.0,28838.0
r6g.16xlarge,32683.0,38450.0,38197.0,31873.0,38450.0
r6g.2xlarge,4085.0,4806.0,4775.0,3984.0,4806.0
r6g.4xlarge,8171.0,9613.0,9549.0,7968.0,9613.0
r6g.8xlarge,16341.0,19225.0,19099.0,15937.0,19225.0
r6g.large,1021.0,1202.0,1194.0,996.0,1202.0
r6g.medium,511.0,601.0,597.0,498.0,601.0
r6g.metal,32683.0,38450.0,38197.0,31873.0,38450.0
r6g.xlarge,2043.0,2403.0,2387.0,1992.0,2403.0
r7g.12xlarge,27340.0,32164.0,32016.0,26669.0,32172.0
r7g.16xlarge,36453.0,42886.0,42688.0,35558.0,42896.0
r7g.2xlarge,4557.0,5361.0,5336.0,4445.0,5362.0
r7g.4xlarge,9113.0,10721.0,10672.0,8890.0,10724.0
r7g.8xlarge,18226.0,21443.0,21344.0,17779.0,21448.0
r7g.large,1139.0,1340.0,1334.0,1111.0,1340.0
r7g.medium,570.0,670.0,667.0,556.0,670.0
r7g.metal,36453.0,42886.0,42688.0,35558.0,42896.0
r7g.xlarge,2278.0,2680.0,2668.0,2222.0,2681.0
r7gd.12xlarge,33144.0,38995.0,37138.0,32282.0,38995.0
r7gd.16xlarge,44192.0,51993.0,49517.0,43043.0,51993.0
r7gd.2xlarge,5524.0,6499.0,6190.0,5380.0,6499.0
r7gd.4xlarge,11048.0,12998.0,12379.0,10761.0,12998.0
