InstanceType,Asia Pacific (Malaysia) - ap-southeast-5,Asia Pacific (Singapore) - ap-southeast-1,Asia Pacific (Sydney) - ap-southeast-2,US East (N. Virginia) - us-east-1,Asia Pacific (Tokyo) - ap-northeast-1
c6g.12xlarge,-,-,-,-,-
c6g.16xlarge,-,-,-,-,-
c6g.2xlarge,-,-,-,-,-
c6g.4xlarge,-,-,-,-,-
c6g.8xlarge,-,-,-,-,-
c6g.large,-,-,-,-,-
c6g.medium,-,-,-,-,-
c6g.metal,-,-,-,-,-
c6g.xlarge,-,-,-,-,-
c6gn.12xlarge,-,-,-,-,-
c6gn.16xlarge,-,-,-,-,-
c6gn.2xlarge,-,-,-,-,-
c6gn.4xlarge,-,-,-,-,-
c6gn.8xlarge,-,-,-,-,-
c6gn.large,-,-,-,-,-
c6gn.medium,-,-,-,-,-
c6gn.xlarge,-,-,-,-,-
c6i.12xlarge,1.9992,22.56,5.6832,10.008,22.776
c6i.16xlarge,-,13.76,7.5776,13.344,7.4496
c6i.24xlarge,3.9984,4.704,-,8.496,45.552
c6i.2xlarge,0.8364,1.72,1.772,0.708,0.9312
c6i.32xlarge,-,12.16,28.352,59.328,60.736
c6i.4xlarge,1.6728,1.52,1.8944,1.416,1.592
c6i.8xlarge,3.3456,3.04,3.7888,-,15.184
c6i.large,-,-,0.203,0.2446,0.679
c6i.metal,5.3312,12.16,60.992,13.4912,14.8992
c6i.xlarge,0.8306,1.88,0.222,0.354,-
c6id.12xlarge,10.36704,5.0304,11.1432,2.4192,5.2824
c6id.16xlarge,7.22432,14.3872,4.2336,3.2256,7.0432
c6id.24xlarge,9.21408,46.0608,6.3504,45.2544,22.0848
c6id.2xlarge,3.76784,0.8384,3.8972,0.9064,3.8804
c6id.32xlarge,6.39744,61.4144,62.3552,14.5024,14.0864
c6id.4xlarge,1.80608,0.9408,3.7144,1.8128,3.6808
c6id.8xlarge,15.07136,3.8944,7.4288,3.6256,3.5216
c6id.large,0.67196,0.2772,0.2243,0.1928,0.2201
c6id.metal,27.64544,28.7744,29.7152,6.4512,8.1984
c6id.xlarge,0.38392,0.8992,0.2646,0.8656,0.4402
c7g.12xlarge,-,-,-,-,-
c7g.16xlarge,-,-,-,-,-
c7g.2xlarge,-,-,-,-,-
c7g.4xlarge,-,-,-,-,-
c7g.8xlarge,-,-,-,-,-
c7g.large,-,-,-,-,-
c7g.medium,-,-,-,-,-
c7g.metal,-,-,-,-,-
c7g.xlarge,-,-,-,-,-
c7gd.12xlarge,-,-,-,-,-
c7gd.16xlarge,-,-,-,-,-
c7gd.2xlarge,-,-,-,-,-
c7gd.4xlarge,-,-,-,-,-
c7gd.8xlarge,-,-,-,-,-
c7gd.large,-,-,-,-,-
c7gd.medium,-,-,-,-,-
c7gd.xlarge,-,-,-,-,-
c7i.12xlarge,2.09928,10.4376,10.7652,5.1612,5.7156
c7i.16xlarge,6.82464,13.9168,7.7552,13.48,3.5952
c7i.24xlarge,4.19856,45.3552,5.5944,44.7,9.8088
c7i.2xlarge,1.67788,3.7796,0.4662,3.725,0.8174
c7i.48xlarge,17.22912,21.9552,23.2656,20.6448,22.8624
c7i.4xlarge,7.43576,1.8296,7.6684,7.45,1.6348
c7i.8xlarge,2.87152,3.6592,7.1768,3.4408,15.2696
c7i.large,0.17947,0.6749,0.11655,0.66125,0.27195
c7i.metal-24xl,8.61456,20.8752,5.5944,10.3224,9.8088
c7i.metal-48xl,40.26912,18.7104,20.0208,17.4,19.6176
c7i.xlarge,0.83894,0.4574,-,0.8425,0.4087
i3en.12xlarge,13.822,-,8.712,25.632,14.352
i3en.24xlarge,52.123,28.944,-,51.264,53.184
i3en.2xlarge,0.976,2.412,1.587,2.232,2.392
i3en.3xlarge,1.463,-,2.381,1.908,6.648
i3en.6xlarge,-,7.236,4.356,6.696,4.296
i3en.large,0.816,0.843,0.431,-,0.838
i3en.metal,16.123,13.008,53.424,-,28.704
i3en.xlarge,2.172,1.206,2.226,2.136,1.196
i4i.12xlarge,4.443,7.145,7.145,7.138,7.85
i4i.16xlarge,-,9.526,33.526,9.517,33.386
i4i.24xlarge,8.88624,14.2896,14.2896,48.6528,-
i4i.2xlarge,2.069,1.191,0.823,0.686,1.173
i4i.32xlarge,17.73632,67.0528,19.0528,19.0336,12.8832
i4i.4xlarge,2.217,2.382,2.652,8.109,2.346
i4i.8xlarge,4.434,-,3.291,8.058,4.693
i4i.large,1.777,0.778,0.365,0.331,0.201
i4i.metal,17.736,19.053,-,16.87,34.131
i4i.xlarge,1.034,0.595,1.075,1.007,0.654
m6g.12xlarge,-,-,-,-,-
m6g.16xlarge,-,-,-,-,-
m6g.2xlarge,-,-,-,-,-
m6g.4xlarge,-,-,-,-,-
m6g.8xlarge,-,-,-,-,-
m6g.large,-,-,-,-,-
m6g.medium,-,-,-,-,-
m6g.metal,-,-,-,-,-
m6g.xlarge,-,-,-,-,-
m6gd.12xlarge,-,-,-,-,-
m6gd.16xlarge,-,-,-,-,-
m6gd.2xlarge,-,-,-,-,-
m6gd.4xlarge,-,-,-,-,-
m6gd.8xlarge,-,-,-,-,-
