InstanceType,Asia Pacific (Malaysia) - ap-southeast-5,Asia Pacific (Singapore) - ap-southeast-1,Asia Pacific (Sydney) - ap-southeast-2,US East (N. Virginia) - us-east-1,Asia Pacific (Tokyo) - ap-northeast-1
c6g.12xlarge,-,-,-,-,-
c6g.16xlarge,-,-,-,-,-
c6g.2xlarge,-,-,-,-,-
c6g.4xlarge,-,-,-,-,-
c6g.8xlarge,-,-,-,-,-
c6g.large,-,-,-,-,-
c6g.medium,-,-,-,-,-
c6g.metal,-,-,-,-,-
c6g.xlarge,-,-,-,-,-
c6gn.12xlarge,-,-,-,-,-
c6gn.16xlarge,-,-,-,-,-
c6gn.2xlarge,-,-,-,-,-
c6gn.4xlarge,-,-,-,-,-
c6gn.8xlarge,-,-,-,-,-
c6gn.large,-,-,-,-,-
c6gn.medium,-,-,-,-,-
c6gn.xlarge,-,-,-,-,-
c6i.12xlarge,230141.0,103747.0,27687.0,20543.0,236167.0
c6i.16xlarge,105025.0,32537.0,114285.0,133184.0,314890.0
c6i.24xlarge,460283.0,48806.0,474173.0,157139.0,53537.0
c6i.2xlarge,38357.0,92578.0,4615.0,3424.0,14132.0
c6i.32xlarge,210050.0,1481251.0,228570.0,209518.0,71382.0
c6i.4xlarge,183936.0,185156.0,9229.0,6848.0,28265.0
c6i.8xlarge,153428.0,54953.0,57142.0,13695.0,157445.0
c6i.large,15896.0,5211.0,16186.0,3274.0,5310.0
c6i.metal,266899.0,276660.0,632230.0,1470958.0,282968.0
c6i.xlarge,6564.0,46289.0,2307.0,19162.0,46486.0
c6id.12xlarge,103050.0,85915.0,31375.0,232521.0,30533.0
c6id.16xlarge,137400.0,114554.0,119202.0,108198.0,319910.0
c6id.24xlarge,1109544.0,474576.0,481548.0,162297.0,219755.0
c6id.2xlarge,92462.0,14319.0,5229.0,38754.0,5089.0
c6id.32xlarge,217952.0,229107.0,83667.0,273245.0,293007.0
c6id.4xlarge,184924.0,186318.0,187480.0,27049.0,187200.0
c6id.8xlarge,155403.0,158192.0,59601.0,15415.0,159955.0
c6id.large,16020.0,16194.0,16339.0,5158.0,5467.0
c6id.metal,621612.0,285956.0,1499843.0,620057.0,293007.0
c6id.xlarge,46231.0,46580.0,9227.0,6762.0,7380.0
c7g.12xlarge,-,-,-,-,-
c7g.16xlarge,-,-,-,-,-
c7g.2xlarge,-,-,-,-,-
c7g.4xlarge,-,-,-,-,-
c7g.8xlarge,-,-,-,-,-
c7g.large,-,-,-,-,-
c7g.medium,-,-,-,-,-
c7g.metal,-,-,-,-,-
c7g.xlarge,-,-,-,-,-
c7gd.12xlarge,-,-,-,-,-
c7gd.16xlarge,-,-,-,-,-
c7gd.2xlarge,-,-,-,-,-
c7gd.4xlarge,-,-,-,-,-
c7gd.8xlarge,-,-,-,-,-
c7gd.large,-,-,-,-,-
c7gd.medium,-,-,-,-,-
c7gd.xlarge,-,-,-,-,-
c7i.12xlarge,79807.0,235022.0,108416.0,79597.0,237506.0
c7i.16xlarge,106409.0,111532.0,116131.0,134553.0,316674.0
c7i.24xlarge,1105694.0,167298.0,1120276.0,461939.0,475011.0
c7i.2xlarge,13301.0,13942.0,18069.0,38495.0,39584.0
c7i.48xlarge,924719.0,334597.0,953883.0,923878.0,344531.0
c7i.4xlarge,77060.0,185563.0,29033.0,76990.0,35817.0
c7i.8xlarge,368565.0,55766.0,58065.0,153980.0,71634.0
c7i.large,15940.0,3485.0,3629.0,3317.0,3589.0
c7i.metal-24xl,202251.0,209935.0,1120276.0,461939.0,475011.0
c7i.metal-48xl,319228.0,334597.0,433665.0,403660.0,344531.0
c7i.xlarge,46071.0,8747.0,9035.0,6633.0,46598.0
i3en.12xlarge,137627.0,274157.0,144102.0,263382.0,594555.0
i3en.24xlarge,1178697.0,245568.0,288205.0,526765.0,545776.0
i3en.2xlarge,44614.0,45693.0,20464.0,18668.0,99093.0
i3en.3xlarge,66920.0,148956.0,148956.0,33332.0,30379.0
i3en.6xlarge,68813.0,297912.0,137078.0,56005.0,71417.0
i3en.large,17461.0,6893.0,17730.0,6444.0,5063.0
i3en.metal,1178697.0,288205.0,548314.0,526765.0,1189110.0
i3en.xlarge,49112.0,49652.0,12009.0,11111.0,49546.0
i4i.12xlarge,256462.0,583358.0,261691.0,252976.0,109073.0
i4i.16xlarge,341949.0,175515.0,175515.0,337301.0,347261.0
i4i.24xlarge,512923.0,523382.0,263273.0,505951.0,1164226.0
i4i.2xlarge,42744.0,43615.0,8715.0,42163.0,8508.0
i4i.32xlarge,683898.0,351030.0,294181.0,1532381.0,694522.0
i4i.4xlarge,85487.0,87230.0,36773.0,33868.0,43464.0
i4i.8xlarge,385419.0,87758.0,388905.0,29051.0,34031.0
i4i.large,6155.0,6373.0,4597.0,1816.0,6321.0
i4i.metal,1541677.0,697842.0,1555621.0,674601.0,347710.0
i4i.xlarge,21372.0,48613.0,21808.0,3631.0,10866.0
m6g.12xlarge,-,-,-,-,-
m6g.16xlarge,-,-,-,-,-
m6g.2xlarge,-,-,-,-,-
m6g.4xlarge,-,-,-,-,-
m6g.8xlarge,-,-,-,-,-
